brand_query,scraped_at,started_on,ad_text,media_type,message_theme,source_url,mosaic_brand,competitor_brand
Cetaphil Baby,2026-03-05T14:50:00Z,01-12-2025,Baby Wash for better results. education angle with creator demo. Shop now.,static,education,https://www.facebook.com/ads/library/,Little Joys,Cetaphil Baby
mCaffeine,2026-03-05T14:51:00Z,03-12-2025,Hair Growth Serum for better results. urgency angle with creator demo. Learn more.,video,urgency,https://www.facebook.com/ads/library/,Bebodywise,mCaffeine
Beardo,2026-03-05T14:52:00Z,05-12-2025,Grooming Combo for better results. offer promo angle with creator demo. Buy now.,carousel,offer_promo,https://www.facebook.com/ads/library/,Man Matters,Beardo
The Moms Co,2026-03-05T14:53:00Z,07-12-2025,Baby Shampoo for better results. problem solution angle with creator demo. Try today.,static,problem_solution,https://www.facebook.com/ads/library/,Little Joys,The Moms Co
Plum Goodness,2026-03-05T14:54:00Z,09-12-2025,Sunscreen Gel for better results. social proof angle with creator demo. Limited offer.,video,social_proof,https://www.facebook.com/ads/library/,Bebodywise,Plum Goodness
Bold Care,2026-03-05T14:55:00Z,11-12-2025,Beard Growth Kit for better results. education angle with creator demo. Shop now.,carousel,education,https://www.facebook.com/ads/library/,Man Matters,Bold Care
Mamaearth Baby,2026-03-05T14:56:00Z,13-12-2025,Baby Lotion for better results. urgency angle with creator demo. Learn more.,static,urgency,https://www.facebook.com/ads/library/,Little Joys,Mamaearth Baby
The Derma Co,2026-03-05T14:57:00Z,15-12-2025,Vitamin C Face Wash for better results. offer promo angle with creator demo. Buy now.,video,offer_promo,https://www.facebook.com/ads/library/,Bebodywise,The Derma Co
Traya Health,2026-03-05T14:58:00Z,17-12-2025,Performance Support for better results. problem solution angle with creator demo. Try today.,carousel,problem_solution,https://www.facebook.com/ads/library/,Man Matters,Traya Health
Sebamed Baby India,2026-03-05T14:59:00Z,19-12-2025,Massage Oil for better results. social proof angle with creator demo. Limited offer.,static,social_proof,https://www.facebook.com/ads/library/,Little Joys,Sebamed Baby India
